iso_code;continent;location;date;total_cases;new_cases;total_deaths;new_deaths;reproduction_rate
COL;South America;Colombia;6/03/2020;1.0;1.0;;;
COL;South America;Colombia;7/03/2020;1.0;0.0;;;
COL;South America;Colombia;8/03/2020;1.0;0.0;;;
COL;South America;Colombia;9/03/2020;1.0;0.0;;;
COL;South America;Colombia;10/03/2020;3.0;2.0;;;
COL;South America;Colombia;11/03/2020;9.0;6.0;;;
COL;South America;Colombia;12/03/2020;9.0;0.0;;;
COL;South America;Colombia;13/03/2020;13.0;4.0;;;
COL;South America;Colombia;14/03/2020;22.0;9.0;;;
COL;South America;Colombia;15/03/2020;34.0;12.0;;;
COL;South America;Colombia;16/03/2020;57.0;23.0;;;
COL;South America;Colombia;17/03/2020;75.0;18.0;;;
COL;South America;Colombia;18/03/2020;102.0;27.0;;;
COL;South America;Colombia;19/03/2020;108.0;6.0;;;2.18
COL;South America;Colombia;20/03/2020;158.0;50.0;;;2.31
COL;South America;Colombia;21/03/2020;196.0;38.0;;;2.24
COL;South America;Colombia;22/03/2020;231.0;35.0;2.0;2.0;2.2
COL;South America;Colombia;23/03/2020;277.0;46.0;3.0;1.0;2.22
COL;South America;Colombia;24/03/2020;378.0;101.0;3.0;0.0;2.21
COL;South America;Colombia;25/03/2020;470.0;92.0;4.0;1.0;1.98
COL;South America;Colombia;26/03/2020;491.0;21.0;6.0;2.0;1.76
COL;South America;Colombia;27/03/2020;539.0;48.0;6.0;0.0;1.63
COL;South America;Colombia;28/03/2020;608.0;69.0;6.0;0.0;1.71
COL;South America;Colombia;29/03/2020;702.0;94.0;10.0;4.0;1.81
COL;South America;Colombia;30/03/2020;798.0;96.0;12.0;2.0;1.79
COL;South America;Colombia;31/03/2020;906.0;108.0;16.0;4.0;1.69
COL;South America;Colombia;1/04/2020;1065.0;159.0;17.0;1.0;1.69
COL;South America;Colombia;2/04/2020;1161.0;96.0;19.0;2.0;1.63
COL;South America;Colombia;3/04/2020;1267.0;106.0;25.0;6.0;1.51
COL;South America;Colombia;4/04/2020;1406.0;139.0;32.0;7.0;1.49
COL;South America;Colombia;5/04/2020;1485.0;79.0;35.0;3.0;1.46
COL;South America;Colombia;6/04/2020;1579.0;94.0;46.0;11.0;1.51
COL;South America;Colombia;7/04/2020;1780.0;201.0;50.0;4.0;1.61
COL;South America;Colombia;8/04/2020;2054.0;274.0;54.0;4.0;1.66
COL;South America;Colombia;9/04/2020;2223.0;169.0;69.0;15.0;1.59
COL;South America;Colombia;10/04/2020;2473.0;250.0;80.0;11.0;1.46
COL;South America;Colombia;11/04/2020;2709.0;236.0;100.0;20.0;1.3
COL;South America;Colombia;12/04/2020;2776.0;67.0;109.0;9.0;1.09
COL;South America;Colombia;13/04/2020;2852.0;76.0;112.0;3.0;0.98
COL;South America;Colombia;14/04/2020;2979.0;127.0;127.0;15.0;0.93
COL;South America;Colombia;15/04/2020;3105.0;126.0;131.0;4.0;0.97
COL;South America;Colombia;16/04/2020;3233.0;128.0;144.0;13.0;1.08
COL;South America;Colombia;17/04/2020;3439.0;206.0;153.0;9.0;1.16
COL;South America;Colombia;18/04/2020;3621.0;182.0;166.0;13.0;1.21
COL;South America;Colombia;19/04/2020;3792.0;171.0;179.0;13.0;1.24
COL;South America;Colombia;20/04/2020;3977.0;185.0;189.0;10.0;1.24
COL;South America;Colombia;21/04/2020;4149.0;172.0;196.0;7.0;1.2
COL;South America;Colombia;22/04/2020;4356.0;207.0;206.0;10.0;1.25
COL;South America;Colombia;23/04/2020;4561.0;205.0;215.0;9.0;1.32
COL;South America;Colombia;24/04/2020;4881.0;320.0;225.0;10.0;1.37
COL;South America;Colombia;25/04/2020;5142.0;261.0;233.0;8.0;1.37
COL;South America;Colombia;26/04/2020;5379.0;237.0;244.0;11.0;1.35
COL;South America;Colombia;27/04/2020;5597.0;218.0;253.0;9.0;1.34
COL;South America;Colombia;28/04/2020;5949.0;352.0;269.0;16.0;1.34
COL;South America;Colombia;29/04/2020;6207.0;258.0;278.0;9.0;1.34
COL;South America;Colombia;30/04/2020;6507.0;300.0;293.0;15.0;1.38
COL;South America;Colombia;1/05/2020;7006.0;499.0;314.0;21.0;1.42
COL;South America;Colombia;2/05/2020;7285.0;279.0;324.0;10.0;1.38
COL;South America;Colombia;3/05/2020;7668.0;383.0;340.0;16.0;1.4
COL;South America;Colombia;4/05/2020;7973.0;305.0;358.0;18.0;1.41
COL;South America;Colombia;5/05/2020;8613.0;640.0;378.0;20.0;1.44
COL;South America;Colombia;6/05/2020;8959.0;346.0;397.0;19.0;1.38
COL;South America;Colombia;7/05/2020;9456.0;497.0;407.0;10.0;1.38
COL;South America;Colombia;8/05/2020;10051.0;595.0;428.0;21.0;1.37
COL;South America;Colombia;9/05/2020;10495.0;444.0;445.0;17.0;1.36
COL;South America;Colombia;10/05/2020;11063.0;568.0;463.0;18.0;1.38
COL;South America;Colombia;11/05/2020;11613.0;550.0;479.0;16.0;1.38
COL;South America;Colombia;12/05/2020;12272.0;659.0;493.0;14.0;1.35
COL;South America;Colombia;13/05/2020;12930.0;658.0;509.0;16.0;1.33
COL;South America;Colombia;14/05/2020;13610.0;680.0;525.0;16.0;1.29
COL;South America;Colombia;15/05/2020;14216.0;606.0;546.0;21.0;1.25
COL;South America;Colombia;16/05/2020;14939.0;723.0;562.0;16.0;1.26
COL;South America;Colombia;17/05/2020;15574.0;635.0;574.0;12.0;1.25
COL;South America;Colombia;18/05/2020;16295.0;721.0;592.0;18.0;1.24
COL;South America;Colombia;19/05/2020;16935.0;640.0;613.0;21.0;1.2
COL;South America;Colombia;20/05/2020;17687.0;752.0;630.0;17.0;1.21
COL;South America;Colombia;21/05/2020;18330.0;643.0;652.0;22.0;1.21
COL;South America;Colombia;22/05/2020;19131.0;801.0;682.0;30.0;1.26
COL;South America;Colombia;23/05/2020;20177.0;1046.0;705.0;23.0;1.33
COL;South America;Colombia;24/05/2020;21175.0;998.0;727.0;22.0;1.36
COL;South America;Colombia;25/05/2020;21981.0;806.0;750.0;23.0;1.34
COL;South America;Colombia;26/05/2020;23003.0;1022.0;776.0;26.0;1.35
COL;South America;Colombia;27/05/2020;24104.0;1101.0;803.0;27.0;1.36
COL;South America;Colombia;28/05/2020;25366.0;1262.0;822.0;19.0;1.37
COL;South America;Colombia;29/05/2020;26688.0;1322.0;853.0;31.0;1.37
COL;South America;Colombia;30/05/2020;28236.0;1548.0;890.0;37.0;1.36
COL;South America;Colombia;31/05/2020;29383.0;1147.0;939.0;49.0;1.31
COL;South America;Colombia;1/06/2020;30493.0;1110.0;969.0;30.0;1.28
COL;South America;Colombia;2/06/2020;31833.0;1340.0;1009.0;40.0;1.28
COL;South America;Colombia;3/06/2020;33354.0;1521.0;1045.0;36.0;1.28
COL;South America;Colombia;4/06/2020;35120.0;1766.0;1087.0;42.0;1.26
COL;South America;Colombia;5/06/2020;36635.0;1515.0;1145.0;58.0;1.2
COL;South America;Colombia;6/06/2020;38027.0;1392.0;1205.0;60.0;1.16
COL;South America;Colombia;7/06/2020;39236.0;1209.0;1259.0;54.0;1.14
COL;South America;Colombia;8/06/2020;40719.0;1483.0;1308.0;49.0;1.16
COL;South America;Colombia;9/06/2020;42078.0;1359.0;1372.0;64.0;1.16
COL;South America;Colombia;10/06/2020;43682.0;1604.0;1433.0;61.0;1.16
COL;South America;Colombia;11/06/2020;45212.0;1530.0;1488.0;55.0;1.16
COL;South America;Colombia;12/06/2020;46858.0;1646.0;1545.0;57.0;1.2
COL;South America;Colombia;13/06/2020;48746.0;1888.0;1592.0;47.0;1.28
COL;South America;Colombia;14/06/2020;50939.0;2193.0;1667.0;75.0;1.34
COL;South America;Colombia;15/06/2020;53063.0;2124.0;1726.0;59.0;1.35
COL;South America;Colombia;16/06/2020;54931.0;1868.0;1801.0;75.0;1.34
COL;South America;Colombia;17/06/2020;57046.0;2115.0;1864.0;63.0;1.34
COL;South America;Colombia;18/06/2020;60217.0;3171.0;1950.0;86.0;1.39
COL;South America;Colombia;19/06/2020;63276.0;3059.0;2045.0;95.0;1.37
COL;South America;Colombia;20/06/2020;65633.0;2357.0;2126.0;81.0;1.32
COL;South America;Colombia;21/06/2020;68652.0;3019.0;2237.0;111.0;1.33
COL;South America;Colombia;22/06/2020;71183.0;2531.0;2310.0;73.0;1.3
COL;South America;Colombia;23/06/2020;73572.0;2389.0;2404.0;94.0;1.3
COL;South America;Colombia;24/06/2020;77113.0;3541.0;2491.0;87.0;1.32
COL;South America;Colombia;25/06/2020;80599.0;3486.0;2654.0;163.0;1.3
COL;South America;Colombia;26/06/2020;84442.0;3843.0;2811.0;157.0;1.3
COL;South America;Colombia;27/06/2020;88591.0;4149.0;2939.0;128.0;1.29
COL;South America;Colombia;28/06/2020;91769.0;3178.0;3178.0;239.0;1.24
COL;South America;Colombia;29/06/2020;95043.0;3274.0;3274.0;96.0;1.21
COL;South America;Colombia;30/06/2020;97846.0;2803.0;3334.0;60.0;1.18
COL;South America;Colombia;1/07/2020;102009.0;4163.0;3470.0;136.0;1.18
COL;South America;Colombia;2/07/2020;106110.0;4101.0;3641.0;171.0;1.14
COL;South America;Colombia;3/07/2020;109505.0;3395.0;3777.0;136.0;1.12
COL;South America;Colombia;4/07/2020;113389.0;3884.0;3942.0;165.0;1.14
COL;South America;Colombia;5/07/2020;117110.0;3721.0;4064.0;122.0;1.16
COL;South America;Colombia;6/07/2020;120281.0;3171.0;4210.0;146.0;1.18
