iso_code;continent;location;date;new_cases;total_cases;new_deaths;total_deaths
CYM;North America;Cayman Islands;2021-02-26;6.0;444.0;0.0;2.0
PRY;South America;Paraguay;2020-09-15;811.0;29298.0;13.0;552.0
GRD;North America;Grenada;2022-01-07;0.0;7377.0;0.0;200.0
TKM;Asia;Turkmenistan;2021-04-28;;;;
JOR;Asia;Jordan;2021-11-21;3579.0;914849.0;14.0;11361.0
JOR;Asia;Jordan;2020-08-14;9.0;1329.0;0.0;11.0
QAT;Asia;Qatar;2020-06-13;1828.0;78416.0;0.0;70.0
BLZ;North America;Belize;2020-04-20;0.0;18.0;0.0;2.0
OWID_LMC;;Lower middle income;2021-08-23;139947.0;55057673.0;3408.0;965962.0
KAZ;Asia;Kazakhstan;2021-09-11;3845.0;912241.0;0.0;14423.0
TJK;Asia;Tajikistan;2021-02-07;0.0;13714.0;0.0;91.0
COL;South America;Colombia;2021-04-10;14509.0;2518715.0;325.0;65608.0
NIC;North America;Nicaragua;2021-08-16;0.0;10251.0;0.0;197.0
FJI;Oceania;Fiji;2022-02-11;78.0;63476.0;3.0;819.0
IMN;Europe;Isle of Man;2021-10-23;65.0;9107.0;0.0;57.0
CYP;Europe;Cyprus;2022-03-22;4673.0;387315.0;3.0;923.0
IRL;Europe;Ireland;2020-12-14;264.0;76449.0;2.0;2126.0
BRN;Asia;Brunei;2022-04-17;176.0;140023.0;1.0;218.0
TTO;North America;Trinidad and Tobago;2021-10-24;244.0;55681.0;6.0;1645.0
PAK;Asia;Pakistan;2020-03-28;102.0;1597.0;2.0;14.0
TZA;Africa;Tanzania;2020-03-28;1.0;14.0;;
SGP;Asia;Singapore;2020-07-16;248.0;47126.0;0.0;27.0
COD;Africa;Democratic Republic of Congo;2020-05-08;74.0;937.0;3.0;39.0
PRI;North America;Puerto Rico;2021-07-18;;;;
GNB;Africa;Guinea-Bissau;2021-10-12;2.0;6121.0;0.0;141.0
TGO;Africa;Togo;2020-10-03;22.0;1840.0;0.0;48.0
DNK;Europe;Denmark;2022-01-25;46590.0;1484771.0;14.0;3635.0
HRV;Europe;Croatia;2020-05-24;1.0;2244.0;0.0;99.0
GRC;Europe;Greece;2021-11-16;8364.0;847188.0;85.0;16923.0
SLE;Africa;Sierra Leone;2020-10-11;6.0;2306.0;0.0;72.0
TCA;North America;Turks and Caicos Islands;2022-02-14;0.0;5828.0;0.0;35.0
BRN;Asia;Brunei;2021-11-13;51.0;14172.0;1.0;96.0
AZE;Asia;Azerbaijan;2020-04-26;28.0;1645.0;0.0;21.0
BRA;South America;Brazil;2021-04-22;48108.0;14182258.0;2051.0;384022.0
UKR;Europe;Ukraine;2020-05-11;416.0;15648.0;17.0;408.0
FRA;Europe;France;2021-11-27;37057.0;7632994.0;32.0;118931.0
COD;Africa;Democratic Republic of Congo;2021-08-12;0.0;52432.0;0.0;1050.0
SWZ;Africa;Eswatini;2020-07-14;45.0;1434.0;0.0;20.0
NER;Africa;Niger;2021-06-20;0.0;5469.0;0.0;193.0
KOR;Asia;South Korea;2020-02-21;100.0;204.0;1.0;2.0
CAF;Africa;Central African Republic;2021-08-06;0.0;7151.0;0.0;98.0
IRN;Asia;Iran;2021-11-08;8341.0;5996155.0;140.0;127439.0
AIA;North America;Anguilla;2020-07-28;0.0;3.0;;
OWID_UMC;;Upper middle income;2021-06-27;152264.0;56215032.0;3255.0;1604091.0
PAK;Asia;Pakistan;2021-04-27;5292.0;810231.0;201.0;17530.0
BRN;Asia;Brunei;2021-11-06;197.0;13742.0;2.0;93.0
AUS;Oceania;Australia;2020-02-21;0.0;15.0;;
OWID_NAM;;North America;2021-03-22;57255.0;34541754.0;870.0;788444.0
OWID_HIC;;High income;2022-04-06;1215462.0;278142552.0;3325.0;2327135.0
TUR;Asia;Turkey;2022-03-05;32389.0;14326217.0;174.0;95379.0
SVK;Europe;Slovakia;2021-01-05;10347.0;300405.0;82.0;2603.0
ARM;Asia;Armenia;2021-01-03;229.0;160027.0;14.0;2850.0
PRT;Europe;Portugal;2021-11-10;1654.0;1100961.0;5.0;18222.0
HTI;North America;Haiti;2020-08-11;23.0;7634.0;1.0;183.0
HND;North America;Honduras;2021-06-13;654.0;247728.0;25.0;6631.0
CHL;South America;Chile;2020-08-04;1469.0;362962.0;38.0;9745.0
BRB;North America;Barbados;2021-07-12;10.0;4186.0;0.0;48.0
BTN;Asia;Bhutan;2020-09-23;0.0;261.0;;
NLD;Europe;Netherlands;2022-02-16;56378.0;5972743.0;18.0;21516.0
IDN;Asia;Indonesia;2022-02-06;36057.0;4516480.0;57.0;144554.0
HUN;Europe;Hungary;2021-01-29;1459.0;364909.0;83.0;12374.0
JPN;Asia;Japan;2020-08-08;1571.0;47348.0;1.0;1044.0
MAC;Asia;Macao;2021-12-10;0.0;77.0;;
SVK;Europe;Slovakia;2020-10-09;1184.0;16910.0;0.0;57.0
MNE;Europe;Montenegro;2021-12-30;1747.0;168328.0;6.0;2407.0
SYR;Asia;Syria;2021-08-06;12.0;26071.0;0.0;1919.0
KEN;Africa;Kenya;2021-03-18;1225.0;117535.0;17.0;1954.0
GNQ;Africa;Equatorial Guinea;2021-12-22;0.0;13618.0;0.0;175.0
PAN;North America;Panama;2022-03-21;0.0;761508.0;0.0;8156.0
QAT;Asia;Qatar;2021-02-20;449.0;159967.0;0.0;256.0
SRB;Europe;Serbia;2021-09-07;5069.0;788895.0;23.0;7421.0
SHN;Africa;Saint Helena;2020-12-08;0.0;3.0;;
SVN;Europe;Slovenia;2021-07-27;106.0;258780.0;0.0;4428.0
SVN;Europe;Slovenia;2020-05-17;1.0;1466.0;1.0;104.0
AFG;Asia;Afghanistan;2020-04-23;84.0;1176.0;4.0;40.0
HKG;Asia;Hong Kong;2020-03-27;42.0;494.0;0.0;4.0
NOR;Europe;Norway;2020-12-02;378.0;36969.0;17.0;351.0
CAF;Africa;Central African Republic;2021-07-04;0.0;7141.0;0.0;98.0
